[2025-05-17 15:01:02,260] INFO [QuorumController id=1] In the last 60000 ms period, 323 controller events were completed, which took an average of 9.50 ms each. The slowest event was writeNoOpRecord(790568136), which took 27.13 ms. (org.apache.kafka.controller.EventPerformanceMonitor)
[2025-05-17 15:01:04,623] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:04,728] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:04,825] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:04,928] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:05,034] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:05,140] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:05,247] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:05,349] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:05,447] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
[2025-05-17 15:01:05,548] INFO [QuorumController id=1] CreateTopics result(s): CreatableTopic(name='test-topic', numPartitions=1, replicationFactor=3, assignments=[], configs=[]): INVALID_REPLICATION_FACTOR (Unable to replicate the partition 3 time(s): The target replication factor of 3 cannot be reached because only 1 broker(s) are registered.) (org.apache.kafka.controller.ReplicationControlManager)
